"node_id","from_link","to_link","direction","lanes"
"1660073100","2420033300","2420031600",RIGHT,"1-1"
"1660073100","2420033300","2420265700",LEFT,"1-1"
"1660073100","2420265600","2420031600",FORWARD,"1-1"
"1660073100","2420265600","2420265800",RIGHT,"1-1"
"1660073100","2420265900","2420265700",FORWARD,"1-1"
"1660073100","2420265900","2420265800",LEFT,"1-1"
"2420010200","1663162600","2420039301",FORWARD,"2-1,3-2,4-3"
"2420010200","1663162600","2420265900",RIGHT,"4-1"
"2420010200","2420031600","2420029800",LEFT,"1-1,2-2"
"2420010200","2420031600","2420039301",RIGHT,"3-3"
"2420010200","2420039202","2420029800",FORWARD,"2-1,3-2,4-3"
"2420010200","2420039202","2420265900",LEFT,"1-1"
"2420014000","2420043900","2420046400",FORWARD,"1-1"
"2420014000","2420043900","2420272601",RIGHT,"1-1"
"2420014000","2420043900","2420273101",LEFT,"1-1"
"2420014000","2420046200","2420043800",FORWARD,"1-1"
"2420014000","2420046200","2420272601",LEFT,"1-1"
"2420014000","2420046200","2420273101",RIGHT,"1-2"
"2420014000","2420272701","2420043800",LEFT,"1-1"
"2420014000","2420272701","2420046400",RIGHT,"1-1"
"2420014000","2420272701","2420273101",FORWARD,"1-1"
"2420014000","2420273001","2420043800",RIGHT,"2-1"
"2420014000","2420273001","2420046400",LEFT,"1-1"
"2420014000","2420273001","2420272601",FORWARD,"1-1"
"2420014600","2420046400","2420048300",FORWARD,"1-1"
"2420014600","2420048200","2420046200",FORWARD,"1-1"
"2420015400","2420049600","2420049400",FORWARD,"1-1"
"2420015400","2420049600","2420273501",RIGHT,"2-3"
"2420015400","2420049900","2420050200",FORWARD,"1-1"
"2420015400","2420049900","2420054100",RIGHT,"1-3"
"2420015400","2420049900","2420273501",LEFT,"1-1"
"2420015400","2420054000","2420049400",LEFT,"1-1"
"2420015400","2420054000","2420050200",RIGHT,"4-2"
"2420015400","2420054000","2420273501",FORWARD,"2-1,3-2,4-3"
"2420015400","2420273401","2420049400",RIGHT,"3-1"
"2420015400","2420273401","2420050200",LEFT,"1-1"
"2420015400","2420273401","2420054100",FORWARD,"1-1,2-2,3-3"
"2420015500","2420048300","2420049800",RIGHT,"1-1"
"2420015500","2420048300","2420049900",LEFT,"1-1"
"2420015500","2420049400","2420048200",RIGHT,"1-1"
"2420015500","2420049400","2420049800",FORWARD,"1-1"
"2420015500","2420050500","2420048200",LEFT,"1-1"
"2420015500","2420050500","2420049900",FORWARD,"1-1"
"2420015700","2420050200","2420051300",FORWARD,"1-1"
"2420015700","2420050200","2420051700",FORWARD,"1-1,2-2"
"2420015700","2420050900","2420049600",FORWARD,"1-1"
"2420015700","2420050900","2420220200",RIGHT,"1-1"
"2420015700","2420051400","2420049600",FORWARD,"1-1,2-2"
"2420015700","2420051400","2420220200",RIGHT,"2-1"
"2420015700","2420220100","2420049600",RIGHT,"1-2"
"2420015700","2420220100","2420051300",LEFT,"1-1"
"2420015700","2420220100","2420051700",LEFT,"1-1"
"2420015800","2420049800","2420056800",LEFT,"1-1"
"2420015800","2420049800","2420272501",RIGHT,"1-1"
"2420015800","2420056700","2420050500",RIGHT,"1-1"
"2420015800","2420056700","2420272501",FORWARD,"1-1"
"2420015800","2420272401","2420050500",LEFT,"1-1"
"2420015800","2420272401","2420056800",FORWARD,"1-1"
"2420017700","2420054100","2420057100",LEFT,"1-1"
"2420017700","2420054100","2420059300",FORWARD,"2-1,3-2,4-3"
"2420017700","2420056500","2420054000",RIGHT,"1-3"
"2420017700","2420056500","2420059300",LEFT,"1-1"
"2420017700","2420059200","2420054000",FORWARD,"1-1,2-2,3-3"
"2420017700","2420059200","2420057100",RIGHT,"3-1"
"2420019200","2420059300","2420062600",RIGHT,"4-1"
"2420019200","2420059300","2420068100",FORWARD,"2-1,3-2,4-3"
"2420019200","2420059300","2420209400",LEFT,"1-1"
"2420019200","2420062900","2420059200",LEFT,"1-1"
"2420019200","2420062900","2420068100",RIGHT,"1-3"
"2420019200","2420062900","2420209400",FORWARD,"1-1"
"2420019200","2420068200","2420059200",FORWARD,"2-1,3-2,4-3"
"2420019200","2420068200","2420062600",LEFT,"1-1"
"2420019200","2420068200","2420209400",RIGHT,"4-2"
"2420019200","2420209300","2420059200",RIGHT,"2-3"
"2420019200","2420209300","2420062600",FORWARD,"2-1"
"2420019200","2420209300","2420068100",LEFT,"1-1"
"2420019400","2420056800","2420062900",LEFT,"1-1"
"2420019400","2420056800","2420067900",FORWARD,"1-1"
"2420019400","2420062600","2420056700",RIGHT,"1-1"
"2420019400","2420062600","2420067900",LEFT,"1-1"
"2420019400","2420068000","2420056700",FORWARD,"1-1"
"2420019400","2420068000","2420062900",RIGHT,"1-1"
"2420022300","2420067900","2420072700",FORWARD,"1-1"
"2420022300","2420067900","2420072900",LEFT,"1-1"
"2420022300","2420072600","2420068000",RIGHT,"1-1"
"2420022300","2420072600","2420072700",LEFT,"1-1"
"2420022300","2420072800","2420068000",FORWARD,"1-1"
"2420022300","2420072800","2420072900",RIGHT,"1-1"
"2420022500","2420068100","2420072600",RIGHT,"4-1"
"2420022500","2420068100","2420075701",FORWARD,"2-1,3-2,4-3"
"2420022500","2420072900","2420068200",LEFT,"1-1"
"2420022500","2420072900","2420075701",RIGHT,"1-3"
"2420022500","2420075802","2420068200",FORWARD,"2-1,3-2,4-3"
"2420022500","2420075802","2420072600",LEFT,"1-1"
"2420025200","2420075702","2420079500",RIGHT,"4-1"
"2420025200","2420075702","2420082300",LEFT,"1-1,2-2"
"2420025200","2420075702","2420091200",FORWARD,"3-1,4-2"
"2420025200","2420080000","2420075801",LEFT,"1-1"
"2420025200","2420080000","2420082300",FORWARD,"1-1"
"2420025200","2420080000","2420091200",RIGHT,"1-3"
